Format,Mail,Date
API,97,2024-05-25
GPKG,3,2024-05-25
HTML,184,2024-05-25
RDF XML,5,2024-05-25
SERVICE,238,2024-05-25
SPARQL,70,2024-05-25
Unbekannt,4,2024-05-25
WMS,236,2024-05-25
WMTS,215,2024-05-25
ZIP,76,2024-05-25
cloud optimized geotiff,1,2024-05-25
Fehlt,65,2024-05-26
API,97,2024-05-26
GPKG,3,2024-05-26
HTML,184,2024-05-26
RDF XML,5,2024-05-26
SERVICE,238,2024-05-26
SPARQL,70,2024-05-26
Unbekannt,4,2024-05-26
WMS,236,2024-05-26
WMTS,215,2024-05-26
ZIP,76,2024-05-26
cloud optimized geotiff,1,2024-05-26
Fehlt,65,2024-05-27
API,97,2024-05-27
GPKG,3,2024-05-27
HTML,184,2024-05-27
RDF XML,5,2024-05-27
SERVICE,238,2024-05-27
SPARQL,70,2024-05-27
Unbekannt,4,2024-05-27
WMS,236,2024-05-27
WMTS,215,2024-05-27
ZIP,76,2024-05-27
cloud optimized geotiff,1,2024-05-27
Fehlt,65,2024-05-28
API,97,2024-05-28
GPKG,3,2024-05-28
HTML,184,2024-05-28
RDF XML,5,2024-05-28
SERVICE,238,2024-05-28
SPARQL,70,2024-05-28
Unbekannt,4,2024-05-28
WMS,236,2024-05-28
WMTS,215,2024-05-28
ZIP,76,2024-05-28
cloud optimized geotiff,1,2024-05-28
Fehlt,65,2024-05-29
API,97,2024-05-29
GPKG,3,2024-05-29
HTML,184,2024-05-29
RDF XML,5,2024-05-29
SERVICE,238,2024-05-29
SPARQL,70,2024-05-29
Unbekannt,4,2024-05-29
WMS,236,2024-05-29
WMTS,215,2024-05-29
ZIP,76,2024-05-29
cloud optimized geotiff,1,2024-05-29
Fehlt,65,2024-05-30
API,97,2024-05-30
GPKG,3,2024-05-30
HTML,184,2024-05-30
RDF XML,5,2024-05-30
SERVICE,238,2024-05-30
SPARQL,70,2024-05-30
Unbekannt,4,2024-05-30
WMS,236,2024-05-30
WMTS,215,2024-05-30
ZIP,76,2024-05-30
cloud optimized geotiff,1,2024-05-30
Fehlt,65,2024-05-31
API,97,2024-05-31
GPKG,3,2024-05-31
HTML,184,2024-05-31
RDF XML,5,2024-05-31
SERVICE,238,2024-05-31
SPARQL,70,2024-05-31
Unbekannt,4,2024-05-31
WMS,236,2024-05-31
WMTS,215,2024-05-31
ZIP,76,2024-05-31
cloud optimized geotiff,1,2024-05-31
Fehlt,65,2024-06-01
API,97,2024-06-01
GPKG,3,2024-06-01
HTML,184,2024-06-01
RDF XML,5,2024-06-01
SERVICE,238,2024-06-01
SPARQL,70,2024-06-01
Unbekannt,4,2024-06-01
WMS,236,2024-06-01
WMTS,215,2024-06-01
ZIP,76,2024-06-01
cloud optimized geotiff,1,2024-06-01
Fehlt,65,2024-06-02
API,97,2024-06-02
GPKG,3,2024-06-02
HTML,184,2024-06-02
RDF XML,5,2024-06-02
SERVICE,238,2024-06-02
SPARQL,70,2024-06-02
Unbekannt,4,2024-06-02
WMS,236,2024-06-02
WMTS,215,2024-06-02
ZIP,76,2024-06-02
cloud optimized geotiff,1,2024-06-02
Fehlt,65,2024-06-03
API,97,2024-06-03
GPKG,3,2024-06-03
HTML,184,2024-06-03
RDF XML,5,2024-06-03
SERVICE,238,2024-06-03
SPARQL,70,2024-06-03
Unbekannt,4,2024-06-03
WMS,236,2024-06-03
WMTS,215,2024-06-03
ZIP,76,2024-06-03
